officer_id;po_assigned_unit;TotalComplaints;Civil Rights Complaint;Criminal Allegation;Departmental Violation;Disciplinary Code Violation;Domestic;Drugs;Falsification;Harassment;Investigation OnGoing;Lack of Service;No C.A.P. Investigation;Other Misconduct;Physical Abuse;Referred to Other Agency/C.A.P. Investigation;Sexual Crime/Misconduct;Unprofessional Conduct;Verbal Abuse;Gender;race;No Sustained Findings;Not Applicable;Pending;Sustained Finding
14546167;1200 12TH DISTRICT; 3;0;0; 3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2; 3;0;0; 2
14546167;5300 HIGHWAY PATROL; 2;0;0; 3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2; 3;0;0; 2
14555436;1600 16TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2; 1;0;0; 0
14563505;1600 16TH DISTRICT; 9;1;0; 4;0;0;0;0;0;0;1;0;0;1;0;0;2;0;1;5; 4;0;0; 5
14578439;2400 24TH DISTRICT; 3;0;0; 2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2; 3;0;0; 0
14582902;2200 22ND DISTRICT; 4;0;0; 2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5; 3;0;0; 1
14611741;1500 15TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5; 1;0;0; 0
14618780;9807 SUMMER INITIATIVE; 1;0;0; 0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0; 0;0;1; 0
14669076;6702 SPECIAL VICTIMS UNI; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5; 1;0;0; 0
14761430;1500 15TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2; 1;0;0; 1
14770700;2200 22ND DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 0;0;0; 1
14791471;1400 14TH DISTRICT; 2;1;0; 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 3;0;0; 0
14791471;9807 SUPP POLICE SERVICE; 1;1;0; 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 3;0;0; 0
14829408;1400 14TH DISTRICT; 3;1;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4; 3;0;0; 0
14892751;2200 22ND DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 1;0;0; 0
14897386;1400 14TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;5; 1;0;0; 0
14908887;2500 25TH DISTRICT;11;0;0; 5;0;0;0;0;0;2;0;0;0;4;0;0;0;0;1;5; 6;0;2; 3
14938585;3500 35TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2; 0;1;0; 0
14972230;2200 22ND DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4; 0;0;0; 1
14975664;1500 15TH DISTRICT; 2;0;0; 1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;5; 2;0;0; 1
14975664;6400 NORTHEAST DET; 1;0;0; 1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;5; 2;0;0; 1
15042268;0800 08TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2; 1;0;0; 0
15066644;4922 RADIO ROOM 2; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2; 1;0;0; 0
15077974;1600 16TH DISTRICT; 2;0;0; 1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;5; 3;0;0; 0
15077974;4500 CENTER CITY DISTRIC; 1;0;0; 1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;5; 3;0;0; 0
15097715;0300 03RD DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 1;0;0; 0
15132219;2400 24TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;5; 2;0;0; 0
15168954;9828 CRIMINAL INTEL UNT; 3;0;0; 2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4; 3;0;0; 0
15188524;4912 COURT LIAISON UNIT; 3;0;0; 1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2; 1;0;0; 2
15192129;0500 05TH DISTRICT; 2;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2; 1;0;0; 1
15341646;1200 12TH DISTRICT; 2;0;0; 0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;5; 2;0;0; 0
15374948;1600 16TH DISTRICT; 2;0;0; 1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4; 2;0;0; 0
